,name,position,age,value,changed,nat,club
0,Ron-ThorbenHoffmann,Goalkeeper,21,€400Th.,11.11.2020,Germany,Bayern Munich
1,SebastiaanBornauw,Centre-Back,21,€13.00m,16.09.2020,Belgium,1. FC Köln
2,SergeGnabry,RightWinger,25,€90.00m,16.09.2020,Germany,Bayern Munich
3,JoshuaKimmich,DefensiveMidfield,25,€85.00m,16.09.2020,Germany,Bayern Munich
4,AlphonsoDavies,Left-Back,20,€80.00m,16.09.2020,Canada,Bayern Munich
5,ErlingHaaland,Centre-Forward,20,€80.00m,16.09.2020,Norway,Borussia Dortmund
6,LeroySané,LeftWinger,24,€70.00m,16.09.2020,Germany,Bayern Munich
7,RobertLewandowski,Centre-Forward,32,€60.00m,16.09.2020,Poland,Bayern Munich
8,DayotUpamecano,Centre-Back,22,€60.00m,16.09.2020,France,RB Leipzig
9,LeonGoretzka,CentralMidfield,25,€60.00m,16.09.2020,Germany,Bayern Munich
10,BenjaminPavard,Right-Back,24,€45.00m,16.09.2020,France,Bayern Munich
11,LucasHernández,Left-Back,24,€45.00m,16.09.2020,France,Bayern Munich
12,LukasKlostermann,Centre-Back,24,€38.00m,16.09.2020,Germany,RB Leipzig
13,ThomasMüller,SecondStriker,31,€35.00m,16.09.2020,Germany,Bayern Munich
14,MatthiasGinter,Centre-Back,26,€32.00m,16.09.2020,Germany,Borussia Mönchengladbach
15,NicoElvedi,Centre-Back,24,€30.00m,16.09.2020,Switzerland,Borussia Mönchengladbach
16,KonradLaimer,CentralMidfield,23,€30.00m,16.09.2020,Austria,RB Leipzig
17,AndrejKramaric,Centre-Forward,29,€27.00m,16.09.2020,Croatia,TSG 1899 Hoffenheim
18,JudeBellingham,CentralMidfield,17,€27.00m,16.09.2020,England,Borussia Dortmund
19,EmreCan,DefensiveMidfield,26,€26.00m,16.09.2020,Germany,Borussia Dortmund
20,YussufPoulsen,Centre-Forward,26,€25.00m,16.09.2020,Denmark,RB Leipzig
21,NordiMukiele,Right-Back,23,€23.00m,16.09.2020,France,RB Leipzig
22,LucasTousart,DefensiveMidfield,23,€20.00m,16.09.2020,France,Hertha BSC
23,MatsHummels,Centre-Back,31,€20.00m,16.09.2020,Germany,Borussia Dortmund
