,name,position,age,value,changed,nat,club
0,DaniEscriche,Centre-Forward,22,€700Th.,03.11.2020,Spain,SD Huesca
1,LionelMessi,RightWinger,33,€100.00m,08.10.2020,Argentina,FC Barcelona
2,JanOblak,Goalkeeper,27,€90.00m,08.10.2020,Slovenia,Atlético Madrid
3,JoãoFélix,SecondStriker,21,€80.00m,08.10.2020,Portugal,Atlético Madrid
4,AntoineGriezmann,Centre-Forward,29,€80.00m,08.10.2020,France,FC Barcelona
5,AnsuFati,LeftWinger,18,€80.00m,08.10.2020,Spain,FC Barcelona
6,Marc-AndréterStegen,Goalkeeper,28,€75.00m,08.10.2020,Germany,FC Barcelona
7,ThibautCourtois,Goalkeeper,28,€75.00m,08.10.2020,Belgium,Real Madrid
8,FedericoValverde,CentralMidfield,22,€70.00m,08.10.2020,Uruguay,Real Madrid
9,FrenkiedeJong,CentralMidfield,23,€70.00m,08.10.2020,Netherlands,FC Barcelona
10,JoséGiménez,Centre-Back,25,€70.00m,08.10.2020,Uruguay,Atlético Madrid
11,SaúlÑíguez,CentralMidfield,25,€70.00m,08.10.2020,Spain,Atlético Madrid
12,RaphaëlVarane,Centre-Back,27,€70.00m,08.10.2020,France,Real Madrid
13,CasemiroDefensive,Midfield,28,€65.00m,08.10.2020,Brazil,Real Madrid
14,EdenHazard,LeftWinger,29,€60.00m,08.10.2020,Belgium,Real Madrid
15,PhilippeCoutinho,AttackingMidfield,28,€60.00m,08.10.2020,Brazil,FC Barcelona
16,KokeCentral,Midfield,28,€60.00m,08.10.2020,Spain,Atlético Madrid
17,MiralemPjanic,DefensiveMidfield,30,€50.00m,08.10.2020,Bosnia-Herzegovina,FC Barcelona
18,ViníciusJúnior,LeftWinger,20,€50.00m,08.10.2020,Brazil,Real Madrid
19,ToniKroos,CentralMidfield,30,€50.00m,08.10.2020,Germany,Real Madrid
20,OusmaneDembélé,RightWinger,23,€50.00m,08.10.2020,France,FC Barcelona
21,ClémentLenglet,Centre-Back,25,€50.00m,08.10.2020,France,FC Barcelona
22,ÉderMilitão,Centre-Back,22,€40.00m,08.10.2020,Brazil,Real Madrid
23,JulesKoundé,Centre-Back,22,€40.00m,08.10.2020,France,Sevilla FC
24,MaxiGómez,Centre-Forward,24,€35.00m,08.10.2020,Uruguay,Valencia CF
25,TrincãoRight,Winger,20,€30.00m,08.10.2020,Portugal,FC Barcelona
26,ÁngelCorrea,RightWinger,25,€35.00m,08.10.2020,Argentina,Atlético Madrid
27,IscoAttacking,Midfield,28,€30.00m,08.10.2020,Spain,Real Madrid
28,JordiAlba,Left-Back,31,€30.00m,08.10.2020,Spain,FC Barcelona
29,JoséGayà,Left-Back,25,€30.00m,08.10.2020,Spain,Valencia CF
30,IñakiWilliams,Centre-Forward,26,€30.00m,08.10.2020,Spain,Athletic Bilbao
31,PacoAlcácer,Centre-Forward,27,€25.00m,08.10.2020,Spain,Villarreal CF
32,CarlosSoler,RightMidfield,23,€30.00m,08.10.2020,Spain,Valencia CF
33,LukaJovic,Centre-Forward,22,€25.00m,08.10.2020,Serbia,Real Madrid
34,YannickCarrasco,LeftWinger,27,€25.00m,08.10.2020,Belgium,Atlético Madrid
35,JoséCampaña,CentralMidfield,27,€25.00m,08.10.2020,Spain,Levante UD
36,IñigoMartínez,Centre-Back,29,€25.00m,08.10.2020,Spain,Athletic Bilbao
37,SamuChukwueze,RightWinger,21,€25.00m,08.10.2020,Nigeria,Villarreal CF
38,Djené,Centre-Back,28,€25.00m,08.10.2020,Togo,Getafe CF
39,KarimBenzema,Centre-Forward,32,€25.00m,08.10.2020,France,Real Madrid
40,Felipe,Centre-Back,31,€25.00m,08.10.2020,Brazil,Atlético Madrid
41,SusoRight,Winger,26,€20.00m,08.10.2020,Spain,Sevilla FC
42,AlexanderIsak,Centre-Forward,21,€22.00m,08.10.2020,Sweden,Real Sociedad
43,JoanJordán,CentralMidfield,26,€20.00m,08.10.2020,Spain,Sevilla FC
44,UnaiNúñez,Centre-Back,23,€20.00m,08.10.2020,Spain,Athletic Bilbao
45,WilliamCarvalho,DefensiveMidfield,28,€20.00m,08.10.2020,Portugal,Real Betis Balompié
46,StefanSavic,Centre-Back,29,€20.00m,08.10.2020,Montenegro,Atlético Madrid
47,MarcCucurella,LeftMidfield,22,€20.00m,08.10.2020,Spain,Getafe CF
48,Kang-inLee,AttackingMidfield,19,€20.00m,08.10.2020,Korea South,Valencia CF
49,SergiRoberto,Right-Back,28,€20.00m,08.10.2020,Spain,FC Barcelona
50,SamuelUmtiti,Centre-Back,27,€20.00m,08.10.2020,France,FC Barcelona
51,LuisSuárez,Centre-Forward,33,€18.00m,08.10.2020,Uruguay,Atlético Madrid
52,SergiñoDest,Right-Back,20,€20.00m,08.10.2020,United States,FC Barcelona
53,GeoffreyKondogbia,CentralMidfield,27,€17.50m,08.10.2020,Central African Republic,Atlético Madrid
54,ThomasLemar,LeftWinger,25,€18.00m,08.10.2020,France,Atlético Madrid
55,GerardPiqué,Centre-Back,33,€15.00m,08.10.2020,Spain,FC Barcelona
56,GonçaloGuedes,LeftWinger,23,€17.50m,08.10.2020,Portugal,Valencia CF
57,RonaldAraújo,Centre-Back,21,€15.00m,08.10.2020,Uruguay,FC Barcelona
58,PedriAttacking,Midfield,17,€15.00m,08.10.2020,Spain,FC Barcelona
59,SergioBusquets,DefensiveMidfield,32,€15.00m,08.10.2020,Spain,FC Barcelona
60,GabrielPaulista,Centre-Back,29,€15.00m,08.10.2020,Brazil,Valencia CF
61,LorenMorón,Centre-Forward,26,€15.00m,08.10.2020,Spain,Real Betis Balompié
62,SantiMina,Centre-Forward,24,€15.00m,08.10.2020,Spain,Celta de Vigo
63,RobinLeNormand,Centre-Back,24,€15.00m,08.10.2020,France,Real Sociedad
64,DavidSoria,Goalkeeper,27,€15.00m,08.10.2020,Spain,Getafe CF
65,FernandoPacheco,Goalkeeper,28,€14.00m,08.10.2020,Spain,Deportivo Alavés
66,ÁlexRemiro,Goalkeeper,25,€15.00m,08.10.2020,Spain,Real Sociedad
67,SergioRamos,Centre-Back,34,€14.00m,08.10.2020,Spain,Real Madrid
68,JúniorFirpo,Left-Back,24,€14.00m,08.10.2020,Spain,FC Barcelona
69,ÓliverTorres,CentralMidfield,26,€14.00m,08.10.2020,Spain,Sevilla FC
70,FranBeltrán,CentralMidfield,21,€14.00m,08.10.2020,Spain,Celta de Vigo
71,MarianoDíaz,Centre-Forward,27,€12.00m,08.10.2020,Spain,Real Madrid
72,ÁlvaroOdriozola,Right-Back,24,€14.00m,08.10.2020,Spain,Real Madrid
73,AsierIllarramendi,DefensiveMidfield,30,€12.00m,08.10.2020,Spain,Real Sociedad
74,JuanFoyth,Centre-Back,22,€13.00m,08.10.2020,Argentina,Villarreal CF
75,ManuTrigueros,CentralMidfield,29,€11.00m,08.10.2020,Spain,Villarreal CF
