,name,position,age,value,changed,nat,club
0,Marquinhos,Centre-Back,26,€70.00m,15.10.2020,Brazil,Paris Saint-Germain
1,MauroIcardi,Centre-Forward,27,€55.00m,15.10.2020,Argentina,Paris Saint-Germain
2,EduardoCamavinga,CentralMidfield,18,€50.00m,15.10.2020,France,Stade Rennais FC
3,HoussemAouar,CentralMidfield,22,€50.00m,15.10.2020,France,Olympique Lyon
4,MemphisDepay,LeftWinger,26,€45.00m,15.10.2020,Netherlands,Olympique Lyon
5,PresnelKimpembe,Centre-Back,25,€35.00m,15.10.2020,France,Paris Saint-Germain
6,BoubacarKamara,DefensiveMidfield,20,€32.00m,15.10.2020,France,Olympique Marseille
7,JonathanDavid,Centre-Forward,20,€30.00m,15.10.2020,Canada,LOSC Lille
8,RayanCherki,AttackingMidfield,17,€25.00m,15.10.2020,France,Olympique Lyon
9,AbdouDiallo,Centre-Back,24,€25.00m,15.10.2020,France,Paris Saint-Germain
10,PabloSarabia,RightWinger,28,€25.00m,15.10.2020,Spain,Paris Saint-Germain
11,BenoîtBadiashile,Centre-Back,19,€25.00m,15.10.2020,France,AS Monaco
12,JeffReine-Adélaïde,CentralMidfield,22,€25.00m,15.10.2020,France,OGC Nice
13,KasperDolberg,Centre-Forward,23,€23.00m,15.10.2020,Denmark,OGC Nice
14,ZekiCelik,Right-Back,23,€20.00m,15.10.2020,Turkey,LOSC Lille
15,JérémyDoku,RightWinger,18,€20.00m,15.10.2020,Belgium,Stade Rennais FC
16,MikeMaignan,Goalkeeper,25,€20.00m,15.10.2020,France,LOSC Lille
17,JonathanBamba,LeftWinger,24,€20.00m,15.10.2020,France,LOSC Lille
18,AnthonyLopes,Goalkeeper,30,€19.00m,15.10.2020,Portugal,Olympique Lyon
19,ValentinRongier,CentralMidfield,25,€18.00m,15.10.2020,France,Olympique Marseille
20,JasonDenayer,Centre-Back,25,€16.00m,15.10.2020,Belgium,Olympique Lyon
21,SerhouGuirassy,Centre-Forward,24,€15.00m,15.10.2020,France,Stade Rennais FC
22,BenjaminBourigeaud,CentralMidfield,26,€15.00m,15.10.2020,France,Stade Rennais FC
23,AmineGouiri,LeftWinger,20,€15.00m,15.10.2020,France,OGC Nice
24,ThiagoMendes,DefensiveMidfield,28,€15.00m,15.10.2020,Brazil,Olympique Lyon
25,MohamedSimakan,Centre-Back,20,€15.00m,15.10.2020,France,RC Strasbourg Alsace
26,AnderHerrera,CentralMidfield,31,€15.00m,15.10.2020,Spain,Paris Saint-Germain
27,KarlTokoEkambi,Centre-Forward,28,€13.00m,15.10.2020,Cameroon,Olympique Lyon
28,LéoDubois,Right-Back,26,€14.00m,15.10.2020,France,Olympique Lyon
29,AlbanLafont,Goalkeeper,21,€12.50m,15.10.2020,France,FC Nantes
30,FaitoutMaouassa,Left-Back,22,€13.00m,15.10.2020,France,Stade Rennais FC
31,LudovicBlas,AttackingMidfield,22,€12.00m,15.10.2020,France,FC Nantes
32,MaxenceCaqueret,CentralMidfield,20,€12.00m,15.10.2020,France,Olympique Lyon
33,ImrânLouza,CentralMidfield,21,€12.00m,15.10.2020,France,FC Nantes
34,DenisBouanga,LeftWinger,26,€12.00m,15.10.2020,Gabon,AS Saint-Étienne
35,TéjiSavanier,CentralMidfield,28,€12.00m,15.10.2020,France,Montpellier HSC
36,M'BayeNiang,Centre-Forward,25,€12.00m,15.10.2020,Senegal,Stade Rennais FC
37,ColinDagba,Right-Back,22,€12.00m,15.10.2020,France,Paris Saint-Germain
38,AlessandroFlorenzi,Right-Back,29,€12.00m,15.10.2020,Italy,Paris Saint-Germain
39,AdilAouchiche,AttackingMidfield,18,€10.00m,15.10.2020,France,AS Saint-Étienne
40,ElBilalTouré,Centre-Forward,19,€11.00m,15.10.2020,Mali,Stade Reims
41,MorganSchneiderlin,DefensiveMidfield,31,€10.00m,15.10.2020,France,OGC Nice
42,KeylorNavas,Goalkeeper,33,€10.00m,15.10.2020,Costa Rica,Paris Saint-Germain
43,SvenBotman,Centre-Back,20,€10.00m,15.10.2020,Netherlands,LOSC Lille
44,WalterBenítez,Goalkeeper,27,€10.00m,15.10.2020,Argentina,OGC Nice
45,JordanAmavi,Left-Back,26,€10.00m,15.10.2020,France,Olympique Marseille
46,GaëtanLaborde,Centre-Forward,26,€10.00m,15.10.2020,France,Montpellier HSC
47,IbrahimaNiane,Centre-Forward,21,€9.00m,15.10.2020,Senegal,FC Metz
48,BenjaminAndré,CentralMidfield,30,€10.00m,15.10.2020,France,LOSC Lille
49,AdrianGrbic,Centre-Forward,24,€9.00m,15.10.2020,Austria,FC Lorient
50,MounirChouiar,LeftWinger,21,€9.00m,15.10.2020,France,Dijon FCO
51,PredragRajkovic,Goalkeeper,25,€9.00m,15.10.2020,Serbia,Stade Reims
52,KennyLala,Right-Back,29,€9.00m,15.10.2020,France,RC Strasbourg Alsace
53,RubenAguilar,Right-Back,27,€8.00m,15.10.2020,France,AS Monaco
