,name,position,age,value,changed,nat,club
0,SaïdBenrahma,LeftWinger,25,€22.00m,15.10.2020,Algeria,West Ham United
1,KarlanGrant,Centre-Forward,23,€8.00m,15.10.2020,England,West Bromwich Albion
2,JoeRodon,Centre-Back,23,€7.00m,15.10.2020,Wales,Tottenham Hotspur
3,TerenceKongolo,Centre-Back,26,€6.50m,15.10.2020,Netherlands,Fulham FC
4,JackButland,Goalkeeper,27,€3.50m,15.10.2020,England,Crystal Palace
5,BrunoFernandes,AttackingMidfield,26,€80.00m,13.10.2020,Portugal,Manchester United
6,Alisson,Goalkeeper,28,€80.00m,13.10.2020,Brazil,Liverpool FC
7,Heung-minSon,LeftWinger,28,€75.00m,13.10.2020,Korea South,Tottenham Hotspur
8,AndrewRobertson,Left-Back,26,€75.00m,13.10.2020,Scotland,Liverpool FC
9,N'GoloKanté,CentralMidfield,29,€70.00m,13.10.2020,France,Chelsea FC
10,TimoWerner,Centre-Forward,24,€70.00m,13.10.2020,Germany,Chelsea FC
11,AnthonyMartial,Centre-Forward,24,€60.00m,13.10.2020,France,Manchester United
12,Richarlison,Centre-Forward,23,€60.00m,13.10.2020,Brazil,Everton FC
13,FabinhoDefensive,Midfield,27,€60.00m,13.10.2020,Brazil,Liverpool FC
14,PhilFoden,CentralMidfield,20,€60.00m,13.10.2020,England,Manchester City
15,GabrielJesus,Centre-Forward,23,€60.00m,13.10.2020,Brazil,Manchester City
16,DeclanRice,DefensiveMidfield,21,€55.00m,13.10.2020,England,West Ham United
17,DeleAlli,AttackingMidfield,24,€52.00m,13.10.2020,England,Tottenham Hotspur
18,MasonGreenwood,RightWinger,19,€50.00m,13.10.2020,England,Manchester United
19,RúbenDias,Centre-Back,23,€50.00m,13.10.2020,Portugal,Manchester City
20,WilfriedZaha,LeftWinger,28,€50.00m,13.10.2020,Cote d'Ivoire,Crystal Palace
21,Pierre-EmerickAubameyang,Centre-Forward,31,€50.00m,13.10.2020,Gabon,Arsenal FC
22,ThomasDefensive,Midfield,27,€50.00m,13.10.2020,Ghana,Arsenal FC
23,JorginhoDefensive,Midfield,28,€50.00m,13.10.2020,Italy,Chelsea FC
24,HarryMaguire,Centre-Back,27,€50.00m,13.10.2020,England,Manchester United
25,JackGrealish,LeftWinger,25,€45.00m,13.10.2020,England,Aston Villa
26,BenChilwell,Left-Back,23,€50.00m,13.10.2020,England,Chelsea FC
27,MasonMount,AttackingMidfield,21,€45.00m,13.10.2020,England,Chelsea FC
28,YouriTielemans,CentralMidfield,23,€45.00m,13.10.2020,Belgium,Leicester City
29,DavinsonSánchez,Centre-Back,24,€45.00m,13.10.2020,Colombia,Tottenham Hotspur
30,MateoKovacic,CentralMidfield,26,€45.00m,13.10.2020,Croatia,Chelsea FC
31,AlexandreLacazette,Centre-Forward,29,€42.00m,13.10.2020,France,Arsenal FC
32,SergioAgüero,Centre-Forward,32,€42.00m,13.10.2020,Argentina,Manchester City
33,DiogoJota,LeftWinger,23,€40.00m,13.10.2020,Portugal,Liverpool FC
34,BukayoSaka,LeftMidfield,19,€40.00m,13.10.2020,England,Arsenal FC
35,AdamaTraoré,RightWinger,24,€40.00m,13.10.2020,Spain,Wolverhampton Wanderers
36,TanguyNdombélé,CentralMidfield,23,€40.00m,13.10.2020,France,Tottenham Hotspur
37,NathanAké,Centre-Back,25,€40.00m,13.10.2020,Netherlands,Manchester City
38,NicolasPépé,RightWinger,25,€40.00m,13.10.2020,Cote d'Ivoire,Arsenal FC
39,GiovaniLoCelso,CentralMidfield,24,€35.00m,13.10.2020,Argentina,Tottenham Hotspur
40,DominicCalvert-Lewin,Centre-Forward,23,€40.00m,13.10.2020,England,Everton FC
41,JamesRodríguez,AttackingMidfield,29,€35.00m,13.10.2020,Colombia,Everton FC
42,DaviddeGea,Goalkeeper,30,€35.00m,13.10.2020,Spain,Manchester United
43,CallumHudson-Odoi,LeftWinger,20,€35.00m,13.10.2020,England,Chelsea FC
44,NélsonSemedo,Right-Back,26,€35.00m,13.10.2020,Portugal,Wolverhampton Wanderers
45,KieranTierney,Left-Back,23,€32.00m,13.10.2020,Scotland,Arsenal FC
46,AllanSaint-Maximin,LeftWinger,23,€32.00m,13.10.2020,France,Newcastle United
47,KurtZouma,Centre-Back,26,€30.00m,13.10.2020,France,Chelsea FC
48,AntonioRüdiger,Centre-Back,27,€30.00m,13.10.2020,Germany,Chelsea FC
49,ReeceJames,Right-Back,20,€30.00m,13.10.2020,England,Chelsea FC
50,OllieWatkins,Centre-Forward,24,€30.00m,13.10.2020,England,Aston Villa
51,LucasDigne,Left-Back,27,€30.00m,13.10.2020,France,Everton FC
52,Rodrigo,Centre-Forward,29,€30.00m,13.10.2020,Spain,Leeds United
53,JarrodBowen,RightWinger,23,€28.00m,13.10.2020,England,West Ham United
