,name,position,age,value,changed,nat,club
0,ArthurCentral,Midfield,24,€60.00m,29.10.2020,Brazil,Juventus FC
1,VictorOsimhen,Centre-Forward,21,€50.00m,29.10.2020,Nigeria,SSC Napoli
2,ChristianEriksen,AttackingMidfield,28,€50.00m,29.10.2020,Denmark,Inter Milan
3,AchrafHakimi,RightMidfield,22,€50.00m,29.10.2020,Morocco,Inter Milan
4,NicolòZaniolo,AttackingMidfield,21,€45.00m,29.10.2020,Italy,AS Roma
5,DejanKulusevski,RightWinger,20,€45.00m,29.10.2020,Sweden,Juventus FC
6,ÁlvaroMorata,Centre-Forward,28,€40.00m,29.10.2020,Spain,Juventus FC
7,MarceloBrozovic,DefensiveMidfield,27,€40.00m,29.10.2020,Croatia,Inter Milan
8,FranckKessié,CentralMidfield,23,€35.00m,29.10.2020,Cote d'Ivoire,AC Milan
9,HirvingLozano,LeftWinger,25,€33.00m,29.10.2020,Mexico,SSC Napoli
10,IsmaëlBennacer,DefensiveMidfield,22,€33.00m,29.10.2020,Algeria,AC Milan
11,ManuelLocatelli,CentralMidfield,22,€30.00m,29.10.2020,Italy,US Sassuolo
12,HakanCalhanoglu,AttackingMidfield,26,€30.00m,29.10.2020,Turkey,AC Milan
13,JordanVeretout,CentralMidfield,27,€28.00m,29.10.2020,France,AS Roma
14,RafaelLeão,Centre-Forward,21,€28.00m,29.10.2020,Portugal,AC Milan
15,ArkadiuszMilik,Centre-Forward,26,€27.00m,29.10.2020,Poland,SSC Napoli
16,TiemouéBakayoko,DefensiveMidfield,26,€26.00m,29.10.2020,France,SSC Napoli
17,GaetanoCastrovilli,CentralMidfield,23,€25.00m,29.10.2020,Italy,ACF Fiorentina
18,WestonMcKennie,CentralMidfield,22,€22.00m,29.10.2020,United States,Juventus FC
19,LeonardoSpinazzola,Left-Back,27,€18.00m,29.10.2020,Italy,AS Roma
20,VedatMuriqi,Centre-Forward,26,€17.00m,29.10.2020,Kosovo,SS Lazio
21,RogerIbañez,Centre-Back,21,€15.00m,29.10.2020,Brazil,AS Roma
22,AlexisSaelemaekers,RightWinger,21,€15.00m,29.10.2020,Belgium,AC Milan
23,JosipIlicic,SecondStriker,32,€15.00m,29.10.2020,Slovenia,Atalanta BC
24,BrahimDíaz,AttackingMidfield,21,€14.00m,29.10.2020,Spain,AC Milan
25,PauLópez,Goalkeeper,25,€12.00m,29.10.2020,Spain,AS Roma
26,WylanCyprien,CentralMidfield,25,€12.00m,29.10.2020,France,Parma Calcio 1913
27,KeitaBaldé,LeftWinger,25,€11.00m,29.10.2020,Senegal,UC Sampdoria
28,LucasMartínezQuarta,Centre-Back,24,€12.00m,29.10.2020,Argentina,ACF Fiorentina
29,MaximeLópez,CentralMidfield,22,€10.00m,29.10.2020,France,US Sassuolo
30,RazvanMarin,CentralMidfield,24,€10.00m,29.10.2020,Romania,Cagliari Calcio
31,ArturoVidal,CentralMidfield,33,€10.00m,29.10.2020,Chile,Inter Milan
32,RadjaNainggolan,AttackingMidfield,32,€10.00m,29.10.2020,Belgium,Inter Milan
33,FilipDjuricic,AttackingMidfield,28,€9.00m,29.10.2020,Serbia,US Sassuolo
34,SamLammers,Centre-Forward,23,€9.00m,29.10.2020,Netherlands,Atalanta BC
35,ValentinMihaila,LeftWinger,20,€6.00m,29.10.2020,Romania,Parma Calcio 1913
36,SebastianWalukiewicz,Centre-Back,20,€7.00m,29.10.2020,Poland,Cagliari Calcio
37,LautaroValenti,Centre-Back,21,€5.00m,29.10.2020,Argentina,Parma Calcio 1913
38,WesleyHoedt,Centre-Back,26,€6.00m,29.10.2020,Netherlands,SS Lazio
39,JuanBrunetta,AttackingMidfield,23,€5.00m,29.10.2020,Argentina,Parma Calcio 1913
40,JeroenZoet,Goalkeeper,29,€5.00m,29.10.2020,Netherlands,Spezia Calcio
41,MaximeBusi,Right-Back,21,€5.00m,29.10.2020,Belgium,Parma Calcio 1913
42,RiccardoSottil,LeftWinger,21,€5.00m,29.10.2020,Italy,Cagliari Calcio
43,MërgimVojvoda,Right-Back,25,€5.00m,29.10.2020,Kosovo,Torino FC
44,SimonSohm,DefensiveMidfield,19,€5.00m,29.10.2020,Switzerland,Parma Calcio 1913
45,NahuelMolina,Right-Back,22,€4.50m,29.10.2020,Argentina,Udinese Calcio
46,LisandroMagallán,Centre-Back,27,€4.50m,29.10.2020,Argentina,FC Crotone
47,FilippoRomagna,Centre-Back,23,€4.00m,29.10.2020,Italy,US Sassuolo
48,MertCetin,Centre-Back,23,€4.00m,29.10.2020,Turkey,Hellas Verona
49,MatteoLovato,Centre-Back,20,€4.00m,29.10.2020,Italy,Hellas Verona
50,CristianoPiccini,Right-Back,28,€4.00m,29.10.2020,Italy,Atalanta BC
51,YordanOsorio,Centre-Back,26,€3.00m,29.10.2020,Venezuela,Parma Calcio 1913
52,JensPetterHauge,LeftWinger,21,€4.00m,29.10.2020,Norway,AC Milan
53,EbrimaColley,LeftWinger,20,€3.00m,29.10.2020,The Gambia,Hellas Verona
54,Jean-VictorMakengo,CentralMidfield,22,€3.50m,29.10.2020,France,Udinese Calcio
