,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Suleiman Abdullahi,Union Berlin,Nigeria,23,153,1,0,1,0,-,37%,33%,0.0,37.6,0.6,20.6,49%,0.00,1,1.2,4.7,0,3.5,1.8,1,0.0,0,0,0.59,0.59,50%,5.8
1,David Abraham,Frankfurt,Argentina,34,1691,2,0,2,1,65%,62%,57%,3.2,58.7,1.2,46.2,81%,0.00,0,0.4,0.5,0,0.4,0.2,5,0.0,0,0,0.11,0.11,57%,6.4
2,Amir Abrashi,Freiburg,Albania,30,663,0,0,3,0,56%,50%,49%,1.9,60.6,0.9,43.5,86%,0.00,0,0.4,0.9,0,0.5,0.3,4,0.0,0,0,0.00,0.00,50%,6.3
3,Tyler Adams,RB Leipzig,United States,21,955,0,0,0,0,68%,48%,54%,1.0,79.5,1.2,60.2,83%,0.00,1,0.4,0.9,0,0.7,0.1,3,0.0,0,0,0.00,0.00,14%,6.5
4,Sargis Adamyan,Hoffenheim,Armenia,27,742,5,1,1,0,50%,27%,30%,0.5,39.1,0.2,19.8,74%,0.12,1,1.2,1.3,0,2.5,1.4,4,0.0,0,2,0.60,0.60,57%,6.3
5,Manuel Akanji,Dortmund,Switzerland,25,2306,0,1,2,0,58%,49%,61%,2.2,85.3,1.3,74.4,91%,0.04,1,0.2,0.1,0,0.3,0.1,13,0.0,0,0,0.00,0.00,25%,6.7
6,Kevin Akpoguma,Hoffenheim,Nigeria,25,1137,0,0,2,0,62%,45%,53%,3.7,74.3,0.9,58.7,88%,0.00,0,0.1,0.2,0,0.2,0.0,6,0.0,0,0,0.00,0.00,0%,6.3
7,David Alaba,Bayern,Austria,28,2498,1,1,0,0,54%,39%,53%,1.1,94.3,1.0,84.5,91%,0.04,4,0.2,1.0,0,0.7,0.2,14,0.0,0,1,0.04,0.04,37%,7.1
8,Lucas Alario,Leverkusen,Argentina,28,1165,7,1,6,0,43%,42%,41%,0.6,38.3,0.1,23.2,73%,0.08,2,1.0,0.3,1,3.8,1.5,7,0.0,0,1,0.54,0.47,39%,6.3
9,Paco Alcácer,Dortmund,Spain,27,528,5,1,0,0,100%,24%,26%,0.5,30.0,0.2,18.9,74%,0.17,2,0.3,0.3,0,2.7,1.2,3,0.0,0,0,0.86,0.86,44%,6.7
