,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Aly Abeid,Levante,Mauritania,22,78,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6.0
1,Antonio Adan,Real Betis,Spain,33,2700,0,2,4,0,-,85%,91%,0.7,46.8,0.0,37.5,67%,0.06,2,0.2,0.0,0,0.0,0.0,9,2.8,1,3,0.00,0.00,0%,6.4
2,Aritz Aduriz,Athletic,Spain,39,2146,9,1,5,0,72%,55%,50%,0.8,33.3,0.1,20.5,67%,0.05,4,0.8,0.8,3,2.6,1.2,10,0.0,0,0,0.38,0.25,46%,6.3
3,Imanol Agirretxe,Real Sociedad,Spain,33,224,0,0,0,0,-,44%,48%,0.8,35.5,0.0,23.4,66%,0.00,0,1.2,0.4,0,2.4,0.8,5,0.0,0,0,0.00,0.00,33%,5.9
4,Nolito,Sevilla FC,Spain,34,1599,4,5,4,0,74%,39%,48%,0.8,55.2,0.6,34.1,73%,0.28,8,1.5,1.5,0,2.1,1.0,10,0.0,0,2,0.23,0.23,47%,6.5
5,Martín,Alavés,Spain,24,1828,0,4,4,0,66%,58%,56%,2.9,57.9,2.0,30.4,72%,0.20,4,0.8,2.5,0,0.1,0.1,10,0.0,0,0,0.00,0.00,33%,6.7
6,Matías Aguirregaray,Las Palmas,Uruguay,31,1156,0,0,3,0,77%,45%,49%,1.6,69.8,1.9,42.8,77%,0.00,2,1.1,1.5,0,0.7,0.0,3,0.0,0,0,0.00,0.00,0%,6.4
7,Ager Aketxe,Athletic,Spain,26,34,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,6.3
8,Salem Al Dawsari,Villarreal,Saudi Arabia,29,33,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6.1
9,Fahad Al Muwallad,Levante,Saudi Arabia,26,25,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
