,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Aymen Abdennour,Marseille,Tunisia,31,499,0,0,3,0,57%,44%,51%,3.4,69.1,0.7,59.9,93%,0.00,0,0.4,0.0,0,0.4,0.2,5,0.0,0,0,0.00,0.00,50%,6.8
1,Mehdi Abeid,Dijon,Algeria,28,1176,0,1,2,0,65%,47%,41%,1.6,61.8,1.5,45.5,86%,0.08,0,1.1,0.5,0,1.6,0.5,4,0.0,0,0,0.00,0.00,29%,6.3
2,Khaled Adénon,Amiens,Benin,35,2919,0,1,9,0,68%,57%,54%,6.7,50.1,2.0,35.6,83%,0.03,0,0.1,0.0,0,0.2,0.0,10,0.0,0,0,0.00,0.00,17%,6.7
3,Yacine Adli,PSG,France,20,7,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
4,Ruben Aguilar,Montpellier,France,27,2457,0,2,2,0,56%,44%,58%,2.8,73.8,1.4,40.4,80%,0.07,8,1.0,3.5,0,0.6,0.1,12,0.0,0,2,0.00,0.00,25%,6.8
5,Jean-Eudes Aholou,Strasbourg,Côte d’Ivoire,26,3011,5,0,4,0,53%,53%,55%,1.6,55.1,2.3,40.3,86%,0.00,1,1.2,0.2,0,1.2,0.2,4,0.0,0,1,0.15,0.15,18%,6.8
6,Youssef Aït Bennasser,Caen,Morocco,24,2054,0,0,4,0,64%,43%,49%,1.1,64.3,1.4,49.2,83%,0.00,2,1.9,0.6,0,1.0,0.1,12,0.0,0,0,0.00,0.00,13%,6.6
7,David Alcibiade,Nantes,France,29,207,0,1,0,0,56%,86%,73%,3.5,56.5,3.0,30.9,73%,0.43,1,0.0,2.2,0,0.9,0.0,1,0.0,0,1,0.00,0.00,0%,6.9
8,Júnior Alonso,Lille,Paraguay,27,2779,2,1,3,0,55%,67%,61%,4.9,73.9,1.9,59.7,81%,0.04,0,0.5,0.2,0,0.5,0.1,5,0.0,0,2,0.06,0.06,25%,6.5
9,Dani Alves,PSG,Brazil,37,2063,1,7,7,1,72%,46%,56%,0.7,105.6,1.3,78.6,88%,0.31,7,1.2,4.3,0,1.2,0.2,12,0.0,0,2,0.05,0.05,19%,7.4
10,Lima,Nantes,Brazil,29,2659,2,3,3,0,66%,47%,49%,2.3,70.2,1.3,35.9,70%,0.10,8,0.8,8.4,0,1.1,0.2,10,0.0,0,0,0.07,0.07,22%,6.6
