,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Trent Alexander-Arnold,Liverpool,England,22,3176,4,13,5,0,60%,33%,42%,1.9,102.8,1.3,68.2,76%,0.37,17,0.6,10.7,0,1.3,0.4,15,0.0,0,4,0.12,0.12,30%,7.2
1,Max Aarons,Norwich,England,20,3240,0,1,7,0,62%,31%,50%,2.1,62.4,1.0,36.5,79%,0.03,6,1.4,2.0,0,0.4,0.1,5,0.0,0,0,0.00,0.00,29%,6.1
2,Ahmed El Mohamady,Aston Villa,Egypt,33,1026,1,1,1,0,47%,55%,53%,1.8,66.4,1.1,42.3,80%,0.09,3,0.6,5.1,0,0.4,0.1,6,0.0,0,1,0.09,0.09,20%,6.1
3,Tammy Abraham,Chelsea,England,23,2222,15,3,2,0,50%,42%,39%,1.1,32.9,0.2,16.6,68%,0.13,3,0.7,0.4,0,3.6,1.6,8,0.0,0,4,0.61,0.61,45%,6.6
4,Angel Gomes,Man Utd,England,20,19,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
5,Che Adams,Southampton,England,24,1105,4,2,0,0,72%,33%,40%,0.7,37.4,0.2,20.0,65%,0.16,4,1.5,1.1,0,2.9,0.8,8,0.0,0,1,0.32,0.32,28%,6.1
6,Sergio Agüero,Man City,Argentina,32,1456,16,3,1,0,62%,19%,37%,0.1,37.8,0.2,21.9,81%,0.19,5,1.6,0.6,2,4.7,1.7,10,0.0,0,3,0.99,0.86,37%,7.0
7,Albian Ajeti,West Ham,Switzerland,23,130,0,0,0,0,-,10%,10%,0.0,21.3,0.7,11.0,81%,0.00,0,0.0,0.0,0,2.1,0.0,0,0.0,0,0,0.00,0.00,0%,5.3
8,Nathan Aké,Bournemouth,Netherlands,25,2505,2,2,2,0,72%,49%,56%,5.3,56.3,1.2,42.6,88%,0.07,1,0.1,0.1,0,0.9,0.3,4,0.0,0,0,0.07,0.07,28%,6.6
9,Marc Albrighton,Leicester City,England,30,863,0,3,2,0,73%,36%,46%,0.9,67.6,0.8,41.9,75%,0.32,5,1.7,7.1,0,1.0,0.2,6,0.0,0,0,0.00,0.00,20%,6.3
10,Toby Alderweireld,Tottenham,Belgium,31,2958,2,2,7,0,74%,50%,51%,5.2,71.6,0.8,59.9,82%,0.06,2,0.0,0.2,0,0.5,0.1,7,0.0,0,0,0.06,0.06,27%,6.5
11,Dele Alli,Tottenham,England,24,1852,8,4,2,0,47%,36%,43%,0.7,59.4,0.7,39.0,76%,0.20,5,1.4,0.3,1,2.0,0.9,4,0.0,0,2,0.39,0.34,45%,6.7
12,Miguel Almirón,Newcastle,Paraguay,26,3034,4,2,5,0,65%,25%,51%,0.5,42.3,0.9,24.5,80%,0.06,3,1.4,1.2,0,1.6,0.5,11,0.0,0,1,0.12,0.12,31%,6.3
13,Marcos Alonso,Chelsea,Spain,29,1430,4,2,4,0,54%,59%,54%,1.6,86.4,1.3,56.5,82%,0.13,5,0.7,4.2,0,1.9,0.5,6,0.0,0,2,0.25,0.25,27%,7.1
14,Cédric,Arsenal,Portugal,29,1560,1,1,1,0,61%,44%,53%,2.4,61.2,1.1,32.1,70%,0.05,0,0.3,3.8,0,0.6,0.3,6,0.0,0,1,0.05,0.05,50%,6.3
15,Steven Alzate,Brighton,Colombia,22,1183,0,0,1,0,56%,36%,54%,0.9,69.4,1.0,45.0,85%,0.00,0,2.6,0.7,0,1.0,0.2,4,0.0,0,0,0.00,0.00,23%,6.5
16,Ibrahim Amadou,Norwich,France,27,757,0,0,1,0,61%,55%,56%,6.4,57.3,2.0,43.1,87%,0.00,0,0.2,0.1,0,0.7,0.1,2,0.0,0,1,0.00,0.00,17%,6.3
17,Felipe Anderson,West Ham,Brazil,27,1506,1,4,1,0,65%,26%,50%,0.7,76.7,1.3,52.5,79%,0.24,2,3.8,2.1,0,1.4,0.5,5,0.0,0,2,0.06,0.06,35%,6.8
18,Florin Andone,Brighton,Romania,27,72,1,0,0,1,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,5.9
19,Faustino Anjorin,Chelsea,England,18,19,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,6.4
20,Michail Antonio,West Ham,England,30,1770,10,3,3,0,64%,47%,46%,0.3,48.7,0.5,22.3,68%,0.15,7,3.2,2.5,1,3.5,1.6,3,0.0,0,2,0.50,0.46,46%,6.7
21,Joelinton,Newcastle,Brazil,24,2698,2,2,7,0,56%,41%,41%,1.0,45.6,0.4,27.0,77%,0.06,4,1.4,0.2,0,1.7,0.5,11,0.0,0,0,0.06,0.06,30%,6.1
22,Stuart Armstrong,Southampton,Scotland,28,1716,5,3,4,0,63%,33%,42%,1.1,49.8,0.5,29.7,78%,0.15,2,1.5,1.2,0,2.4,1.1,9,0.0,0,0,0.26,0.26,43%,6.3
23,Kepa Arrizabalaga,Chelsea,Spain,26,2970,0,0,0,0,100%,100%,92%,0.4,36.1,0.0,28.5,80%,0.00,0,0.0,0.0,0,0.0,0.0,8,1.7,0,0,0.00,0.00,0%,6.2
24,Christian Atsu,Newcastle,Ghana,28,739,0,3,2,0,80%,38%,38%,0.7,44.9,0.2,24.2,80%,0.37,0,1.9,2.1,0,0.6,0.1,4,0.0,0,0,0.00,0.00,20%,6.0
25,PE Aubameyang,Arsenal,Gabon,31,3139,22,3,3,1,63%,35%,38%,0.4,37.3,0.3,23.2,72%,0.09,8,0.5,2.5,2,2.7,1.2,10,0.0,0,5,0.63,0.58,45%,6.7
26,Serge Aurier,Tottenham,Côte d’Ivoire,27,2706,1,5,3,0,75%,51%,55%,2.8,72.7,1.4,42.1,79%,0.16,4,1.2,4.5,0,0.4,0.1,8,0.0,0,1,0.04,0.04,31%,6.8
27,Jordan Ayew,Crystal Palace,Ghana,29,3162,9,2,6,0,62%,30%,43%,0.6,44.4,0.4,23.2,81%,0.05,4,2.1,0.7,0,1.6,0.7,10,0.0,0,2,0.25,0.25,41%,6.5
28,Cesar Azpilicueta,Chelsea,Spain,31,3230,2,6,1,0,60%,60%,57%,2.1,94.3,1.8,67.0,81%,0.17,9,0.3,3.3,0,0.8,0.2,8,0.0,0,5,0.05,0.05,21%,7.0
29,Eric Bailly,Man Utd,Côte d’Ivoire,26,147,0,0,0,0,-,100%,73%,4.3,57.2,1.8,46.8,90%,0.00,0,0.6,0.0,0,0.0,0.0,2,0.0,0,0,0.00,0.00,0%,6.5
30,Leighton Baines,Everton,England,35,402,0,0,0,0,64%,55%,66%,2.0,61.3,1.1,34.6,86%,0.00,1,0.5,6.1,0,0.2,0.0,1,0.0,0,0,0.00,0.00,0%,6.1
31,Fabián Balbuena,West Ham,Paraguay,29,1173,1,0,2,0,67%,58%,55%,5.2,51.4,2.0,37.3,71%,0.00,1,0.1,0.1,0,0.8,0.3,5,0.0,0,0,0.08,0.08,40%,6.3
32,George Baldock,Sheffield Utd,England,27,3420,2,3,7,0,66%,41%,53%,1.7,53.2,1.0,29.2,76%,0.08,2,1.1,3.4,0,0.3,0.1,13,0.0,0,1,0.05,0.05,38%,6.3
33,Roberto Firmino,Liverpool,Brazil,29,3004,9,8,0,0,50%,26%,38%,0.4,49.7,0.2,34.6,79%,0.24,9,1.5,0.2,0,2.9,1.2,15,0.0,0,2,0.27,0.27,40%,6.8
34,Ricardo Pereira,Leicester City,Portugal,27,2520,3,2,1,0,58%,46%,54%,2.6,89.6,1.5,55.1,79%,0.07,5,2.0,2.0,0,0.6,0.2,10,0.0,0,5,0.11,0.11,28%,7.1
35,Phil Bardsley,Burnley,Scotland,35,1890,0,1,6,0,76%,59%,57%,3.1,55.8,1.4,31.1,66%,0.05,3,0.2,1.4,0,0.6,0.2,9,0.0,0,0,0.00,0.00,42%,6.5
36,Ross Barkley,Chelsea,England,26,1104,1,4,0,0,56%,48%,47%,0.7,68.2,0.7,49.6,89%,0.32,3,2.1,1.0,0,3.3,1.0,7,0.0,0,2,0.08,0.08,30%,6.7
37,Ashley Barnes,Burnley,England,31,1362,6,0,4,0,44%,41%,43%,0.5,31.9,0.4,16.1,55%,0.00,0,0.5,0.3,1,2.6,0.8,7,0.0,0,0,0.40,0.33,30%,6.0
38,Harvey Barnes,Leicester City,England,22,2091,6,8,0,0,72%,41%,45%,0.2,46.3,0.2,29.7,80%,0.34,6,1.8,1.8,0,2.6,1.2,12,0.0,0,2,0.26,0.26,46%,6.4
39,Chris Basham,Sheffield Utd,England,32,3255,0,1,4,0,58%,64%,64%,4.7,57.7,2.0,36.0,75%,0.03,2,0.6,1.4,0,0.2,0.0,13,0.0,0,0,0.00,0.00,0%,6.7
40,Michy Batshuayi,Chelsea,Belgium,27,225,1,1,0,0,-,32%,38%,0.4,55.2,0.0,31.2,83%,0.40,0,2.4,0.0,0,6.0,0.8,3,0.0,0,0,0.40,0.40,13%,5.8
41,Alisson,Liverpool,Brazil,28,2545,0,1,0,1,-,100%,76%,0.8,36.6,0.0,28.4,85%,0.04,1,0.0,0.0,0,0.0,0.0,13,2.0,0,1,0.00,0.00,0%,6.6
42,Jan Bednarek,Southampton,Poland,24,3058,1,1,4,0,62%,73%,65%,5.6,60.3,2.2,44.8,75%,0.03,1,0.0,0.0,0,0.2,0.0,7,0.0,0,0,0.03,0.03,14%,6.5
43,Héctor Bellerín,Arsenal,Spain,25,1159,1,0,2,0,63%,43%,41%,1.3,63.9,1.3,41.3,81%,0.00,1,1.1,1.9,0,0.5,0.1,6,0.0,0,0,0.07,0.07,29%,6.4
44,Ryan Bennett,Leicester City,England,30,935,0,0,2,0,67%,50%,48%,3.3,54.7,1.5,41.4,79%,0.00,0,0.0,0.6,0,0.1,0.0,5,0.0,0,0,0.00,0.00,0%,6.3
45,Nabil Bentaleb,Newcastle,Algeria,25,749,0,0,2,0,57%,53%,46%,1.0,60.0,2.3,47.8,85%,0.00,0,0.8,0.0,0,0.5,0.0,3,0.0,0,0,0.00,0.00,0%,6.4
46,Christian Benteke,Crystal Palace,Belgium,29,1257,2,1,4,1,50%,58%,53%,2.0,41.4,0.3,23.9,54%,0.07,4,1.1,0.4,0,2.9,1.4,8,0.0,0,0,0.14,0.14,46%,6.5
47,Steven Bergwijn,Tottenham,Netherlands,23,704,3,1,2,0,62%,47%,42%,0.6,47.4,0.4,31.4,86%,0.13,2,1.0,1.3,0,1.1,0.5,5,0.0,0,0,0.39,0.39,44%,6.3
48,Ryan Bertrand,Southampton,England,31,2743,1,1,3,1,64%,54%,51%,1.0,66.8,1.0,40.1,76%,0.04,3,0.3,3.8,0,0.6,0.1,7,0.0,0,0,0.04,0.04,16%,6.3
49,Muhamed Bešić,Sheffield Utd,Bosnia and Herzegovina,28,245,0,0,2,0,75%,63%,61%,2.2,55.5,0.7,38.9,80%,0.00,0,2.6,0.4,0,1.5,0.7,3,0.0,0,0,0.00,0.00,50%,6.2
50,Philip Billing,Bournemouth,Denmark,24,2535,1,1,8,0,63%,58%,53%,3.3,62.1,2.5,40.2,75%,0.04,2,0.8,0.5,0,1.2,0.3,4,0.0,0,1,0.04,0.04,24%,6.6
51,Yves Bissouma,Brighton,Mali,24,1263,1,0,4,0,80%,55%,51%,1.6,64.2,1.6,43.3,85%,0.00,0,2.4,0.4,0,1.1,0.5,7,0.0,0,3,0.07,0.07,44%,6.7
52,Sander Berge,Sheffield Utd,Norway,22,948,1,1,0,0,69%,67%,61%,1.1,50.0,0.9,34.4,80%,0.10,1,1.3,2.2,0,0.5,0.2,5,0.0,0,1,0.10,0.10,40%,6.5
53,Gaëtan Bong,Brighton,Cameroon,32,55,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,5.2
54,Willian,Chelsea,Brazil,32,2604,9,7,4,0,58%,33%,57%,0.2,71.1,0.7,49.1,83%,0.24,13,2.3,6.0,4,2.5,1.0,8,0.0,0,3,0.32,0.17,41%,7.0
55,Bruno Fernandes,Man Utd,Portugal,26,1193,8,7,2,0,50%,20%,42%,1.1,78.8,0.7,58.2,75%,0.53,3,1.0,5.7,4,3.3,1.4,9,0.0,0,4,0.60,0.31,41%,7.4
56,Sofiane Boufal,Southampton,Morocco,27,759,0,2,2,0,50%,39%,44%,0.0,70.3,0.3,34.0,78%,0.23,4,5.9,3.2,0,2.1,0.8,4,0.0,0,0,0.00,0.00,39%,6.3
57,Jarrod Bowen,West Ham,England,24,922,1,4,0,0,77%,21%,46%,0.4,44.9,1.3,20.9,76%,0.39,3,1.5,5.8,0,2.4,0.7,1,0.0,0,1,0.10,0.10,29%,6.8
58,Robbie Brady,Burnley,Republic of Ireland,28,447,1,2,1,0,80%,50%,45%,1.4,53.5,1.0,31.1,63%,0.41,1,1.2,2.4,0,2.4,0.2,5,0.0,0,0,0.20,0.20,8%,5.9
59,Jarrad Branthwaite,Everton,England,18,298,0,0,0,0,100%,43%,54%,3.0,78.6,0.3,66.5,86%,0.00,0,0.3,0.0,0,0.0,0.0,1,0.0,0,0,0.00,0.00,0%,6.5
60,Claudio Bravo,Man City,Chile,37,346,0,0,0,0,-,100%,100%,0.8,38.8,0.0,30.9,76%,0.00,0,0.3,0.0,0,0.0,0.0,1,2.1,0,0,0.00,0.00,0%,6.1
61,Armando Broja,Chelsea,Albania,19,4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
62,David Brooks,Bournemouth,Wales,23,513,1,0,1,0,100%,0%,37%,0.2,43.9,0.5,26.8,73%,0.00,1,2.1,4.2,0,1.1,0.3,1,0.0,0,0,0.18,0.18,33%,5.8
63,Josh Brownhill,Burnley,England,24,805,0,0,2,0,77%,45%,55%,1.9,49.3,1.4,37.0,82%,0.00,0,0.8,0.2,0,0.7,0.0,5,0.0,0,0,0.00,0.00,0%,6.4
64,Emiliano Buendía,Norwich,Argentina,23,2465,1,7,6,1,46%,37%,48%,0.9,82.4,0.8,50.7,80%,0.25,7,3.5,6.1,0,1.5,0.4,5,0.0,0,3,0.04,0.04,28%,6.8
65,Dan Burn,Brighton,England,28,2881,0,0,5,0,64%,71%,60%,3.6,72.8,1.1,48.1,74%,0.00,2,0.6,1.6,0,0.4,0.0,9,0.0,0,1,0.00,0.00,0%,6.5
66,Sam Byram,Norwich,England,27,1293,0,0,4,0,54%,55%,53%,4.4,71.8,1.7,44.1,78%,0.00,0,0.4,0.5,0,1.0,0.1,3,0.0,0,0,0.00,0.00,13%,6.4
67,Willy Caballero,Chelsea,Argentina,39,450,0,0,0,0,-,100%,100%,0.8,36.0,0.0,29.8,72%,0.00,0,0.0,0.0,0,0.0,0.0,1,2.0,0,0,0.00,0.00,0%,6.2
68,Gary Cahill,Crystal Palace,England,34,2168,0,1,1,0,53%,64%,61%,4.4,52.5,0.8,41.1,85%,0.05,1,0.2,0.0,0,0.9,0.2,7,0.0,0,0,0.00,0.00,24%,6.4
69,Bernard,Everton,Brazil,28,1280,3,2,2,0,68%,8%,38%,0.5,54.2,1.1,35.5,77%,0.14,2,1.9,2.4,0,0.8,0.3,7,0.0,0,0,0.20,0.20,42%,6.2
70,Dominic Calvert-Lewin,Everton,England,23,2630,13,1,9,0,67%,44%,43%,1.2,33.7,0.2,18.6,65%,0.04,1,0.4,0.7,0,2.9,1.3,8,0.0,0,2,0.44,0.44,45%,6.3
71,Víctor Camarasa,Crystal Palace,Spain,26,5,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
