,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Pedro,Fiorentina,Brazil,23,59,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.8
1,Francesco Acerbi,Lazio,Italy,32,3166,2,2,4,0,52%,65%,71%,2.7,67.6,1.2,55.9,90%,0.05,3,0.4,0.7,0,0.4,0.1,10,0.0,0,0,0.05,0.05,31%,6.8
2,Bobby Adekanye,Lazio,Netherlands,21,177,1,0,1,0,66%,20%,38%,0.5,37.4,1.5,20.7,88%,0.00,0,1.5,0.5,0,2.5,2.0,3,0.0,0,0,0.50,0.50,80%,5.9
3,Claud Adjapong,Verona,Italy,22,228,0,0,0,0,60%,43%,52%,2.0,46.2,1.6,26.4,64%,0.00,0,0.4,0.8,0,1.2,0.4,0,0.0,0,0,0.00,0.00,33%,5.9
4,Michel Ndary Adopo,Torino,France,20,2,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
5,Lucien Agoume,Inter,France,18,65,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,6.3
6,Kevin Agudelo,Fiorentina,Colombia,21,729,1,1,4,0,64%,27%,48%,0.2,60.6,0.9,38.9,84%,0.13,2,3.2,1.4,0,1.7,0.2,1,0.0,0,0,0.13,0.13,14%,6.6
7,Emmanuel Agyemang-Badu,Verona,Ghana,29,223,0,0,2,0,100%,26%,29%,2.0,54.5,0.4,41.2,87%,0.00,0,0.4,0.4,0,0.0,0.0,3,0.0,0,0,0.00,0.00,0%,5.8
8,Ola Aina,Torino,Nigeria,24,2075,0,2,8,0,53%,53%,56%,1.7,69.0,1.8,38.6,78%,0.09,3,2.0,2.7,0,0.5,0.1,6,0.0,0,0,0.00,0.00,17%,6.4
9,Enrico Alfonso,Brescia,Italy,32,280,0,0,0,0,-,-,-,2.3,30.2,0.0,22.8,69%,0.00,0,0.0,0.0,0,0.0,0.0,1,2.3,0,0,0.00,0.00,0%,6.6
10,Sofyan Amrabat,Verona,Morocco,24,2929,1,1,10,2,62%,35%,51%,0.6,69.4,0.9,52.2,88%,0.03,3,2.3,0.7,1,0.6,0.2,8,0.0,0,2,0.03,0.00,37%,6.7
11,Djavan Anderson,Lazio,Netherlands,25,165,0,0,1,0,-,34%,29%,1.6,54.0,1.6,25.6,87%,0.00,0,1.6,1.1,0,0.6,0.0,1,0.0,0,0,0.00,0.00,0%,5.9
12,Lorenzo Andrenacci,Brescia,Italy,25,530,0,0,0,0,-,100%,67%,0.8,34.1,0.0,19.7,67%,0.00,0,0.0,0.0,0,0.0,0.0,0,4.9,0,1,0.00,0.00,0%,6.6
